"focal","origin"
"Eminem","Run-D.M.C."
"KRS-One","Run-D.M.C."
"Busta Rhymes","Run-D.M.C."
"Jay-Z","Run-D.M.C."
"Wu-Tang Clan","Run-D.M.C."
"Obie Trice","Run-D.M.C."
"B Real","Run-D.M.C."
"DMX","Run-D.M.C."
"Method Man","Run-D.M.C."
"LL Cool J","Run-D.M.C."
"Phat Kat","Run-D.M.C."
"Artfull Dodgers","Run-D.M.C."
"Common","Run-D.M.C."
"Esham","Run-D.M.C."
"Brother Ali","Run-D.M.C."
"Bukue One","Run-D.M.C."
"Brand Nubian","Run-D.M.C."
"Wyclef Jean","Run-D.M.C."
"Aesop Rock","Run-D.M.C."
"8Ball and MJG","Run-D.M.C."
"Guerilla Black","Run-D.M.C."
"Mase","Run-D.M.C."
"Public Enemy","Run-D.M.C."
"Kool G Rap","Run-D.M.C."
"Everlast","Run-D.M.C."
"D12","Run-D.M.C."
"Cypress Hill","Run-D.M.C."
"Ol' Dirty Bastard","Run-D.M.C."
"Shyne","Run-D.M.C."
"Kool Keith","Run-D.M.C."
"Ugly Duckling","Run-D.M.C."
"Geto Boys","Run-D.M.C."
"Ice-T","Run-D.M.C."
"Vanilla Ice","Run-D.M.C."
"Beastie Boys","Run-D.M.C."
"De La Soul","Run-D.M.C."
"Consequence","Run-D.M.C."
"AZ","Run-D.M.C."
"Ultramagnetic MC's","Run-D.M.C."
"Sir Mix-A-Lot","Run-D.M.C."
"Atmosphere","Run-D.M.C."
"Boom Bap Project","Run-D.M.C."
"Fun Lovin' Criminals","Run-D.M.C."
"Guru","Run-D.M.C."
"The 2 Live Crew","Run-D.M.C."
"Sleep","Run-D.M.C."
"EPMD","Run-D.M.C."
"Onyx","Run-D.M.C."
"DJ Spooky","Run-D.M.C."
"B.B. Jay","Run-D.M.C."
"Maspyke","Run-D.M.C."
"Mark Ronson","Run-D.M.C."
"will.i.am","Run-D.M.C."
"2Mex","Run-D.M.C."
"Mix Master Mike","Run-D.M.C."
"Songodsuns","Run-D.M.C."
"El-P","Run-D.M.C."
"Cowboy Troy","Run-D.M.C."
"Breez Evahflowin","Run-D.M.C."
"Pete Rock","Run-D.M.C."
"Heavy D","Run-D.M.C."
"Goldie Lookin Chain","Run-D.M.C."
"Rehab","Run-D.M.C."
"Will Smith","Run-D.M.C."
"Pharoahe Monch","Run-D.M.C."
"Rob Sonic","Run-D.M.C."
"Eazy-E","Run-D.M.C."
"House of Pain","Run-D.M.C."
"MC Lyte","Run-D.M.C."
"P.M. Dawn","Run-D.M.C."
"Kid Rock","Run-D.M.C."
"Chillin Villin Empire","Run-D.M.C."
"Naughty by Nature","Run-D.M.C."
"Insane Clown Posse","Run-D.M.C."
"MC Hammer","Run-D.M.C."
"N.W.A","Run-D.M.C."
"DJ Jazzy Jeff & the Fresh Prince","Run-D.M.C."
"Eric B. & Rakim","Run-D.M.C."
"Heavy D & the Boyz","Run-D.M.C."
"Boogie Down Productions","Run-D.M.C."
"Leaders of the New School","Run-D.M.C."
"Salt-N-Pepa","Run-D.M.C."
"Masta Ace Incorporated","Run-D.M.C."
"Biz Markie","Run-D.M.C."
"Souls of Mischief","Run-D.M.C."
"Monie Love","Run-D.M.C."
"Queen Latifah","Run-D.M.C."
"Craig Mack","Run-D.M.C."
"Pete Rock & C.L. Smooth","Run-D.M.C."
"Gang Starr","Run-D.M.C."
"Main Source","Run-D.M.C."
"Slick Rick","Run-D.M.C."
"Marxman","Run-D.M.C."
"Slimm Calhoun","Run-D.M.C."
"DJ Hurricane","Run-D.M.C."
"Big L","Run-D.M.C."
"Stetsasonic","Run-D.M.C."
"Audio Two","Run-D.M.C."
"Puff Daddy","Run-D.M.C."
"Company Flow","Run-D.M.C."
"Rakim","Run-D.M.C."
"3rd Bass","Run-D.M.C."
"Kool G Rap & DJ Polo","Run-D.M.C."
"DJ Krush","Run-D.M.C."
"Fredro Starr","Run-D.M.C."
"Chill Rob G.","Run-D.M.C."
"Outsidaz","Run-D.M.C."
"Black, Rock & Ron","Run-D.M.C."
"Canibus","Run-D.M.C."
"E-40","Run-D.M.C."
"Faith No More","Run-D.M.C."
"Kanye West","Run-D.M.C."
"M.O.P.","Run-D.M.C."
"Will Jay","Run-D.M.C."
