"","Variables","sim_dmc","sim_nwa","nw_dmc","nw_nwa","gang","production_res","Loc_NY_pure","Loc_CA_pure","products","teamsize"
"sim_dmc","Similarity (Run-D.M.C.)","1","","","","","","","","",""
"sim_nwa","Similarity (N.W.A)","0.39","1","","","","","","","",""
"nw_dmc","Working with Run-D.M.C.'s collaborators","0.02","-0.01","1","","","","","","",""
"nw_nwa","Working with N.W.A's collaborators","0.03","0.09","0.04","1","","","","","",""
"gang","Gang affiliation","0","0.08","0.06","0.14","1","","","","",""
"production_res","Atypical production resources","-0.09","-0.19","0.08","0.03","0.02","1","","","",""
"Loc_NY_pure","Location NY","0.01","0.1","0.13","0.02","0","0.04","1","","",""
"Loc_CA_pure","Location CA","0.04","0.05","-0.01","0.14","0.1","-0.01","-0.03","1","",""
"products","Previous releases","0.01","0.07","0.03","0.06","0.14","0.05","0.12","0.13","1",""
"teamsize","Team size","0.06","-0.06","0.2","0.16","0.07","0.51","0.15","0.04","0.11","1"
